snapshot_hour_utc,game_id,position,user_login,viewer_count,language,started_at
2026-08-28T01,1478650472,2,youtubezdawg,261,en,2026-08-27T21:38:26Z
2026-08-28T01,1478650472,3,astrox031,141,pt,2026-08-28T00:43:47Z
2026-08-28T01,29452,1,burgaofps,1699,pt,2026-08-27T22:31:54Z
2026-08-28T01,29452,2,gzk_tips,551,pt,2026-08-27T21:58:05Z
2026-08-28T01,29452,3,tecnosh,435,pt,2026-08-28T00:43:15Z
2026-08-28T01,13332,1,powaslap,734,en,2026-08-27T21:13:41Z
2026-08-28T01,13332,2,twitchplayspokemon,477,en,2026-08-27T19:34:12Z
2026-08-28T01,13332,3,lightorias,462,en,2026-08-27T23:46:49Z
2026-08-28T01,1036710512,1,mikami_kon,1852,ja,2026-08-27T18:09:06Z
2026-08-28T01,1036710512,2,koragi_ch,312,en,2026-08-27T23:50:26Z
2026-08-28T01,1036710512,3,shesdarling,123,en,2026-08-27T21:55:35Z
2026-08-28T01,31339,1,disnof,649,en,2026-08-27T18:26:31Z
2026-08-28T01,31339,2,gaules,414,pt,2026-08-27T17:29:33Z
2026-08-28T01,31339,3,condejorge,391,es,2026-08-27T21:35:59Z
2026-08-28T01,493057,1,julien,837,en,2026-08-28T00:17:25Z
2026-08-28T01,493057,2,sparking_,473,pt,2026-08-27T22:24:54Z
2026-08-28T01,493057,3,cyberfocus,204,ru,2026-08-28T00:54:20Z
2026-08-28T01,504463,1,nothingbutskillz,2013,en,2026-08-27T13:18:13Z
2026-08-28T01,504463,2,gcrock6,717,en,2026-08-27T10:49:59Z
2026-08-28T01,504463,3,streamerhouse,715,en,2026-08-26T22:18:35Z
2026-08-28T01,1441208453,1,firedragon_95,682,en,2026-08-27T23:17:47Z
2026-08-28T01,1441208453,2,elpina_gg,553,en,2026-08-28T01:04:35Z
2026-08-28T01,1441208453,3,senevades,375,en,2026-08-27T18:00:47Z
2026-08-28T01,498592,1,kawa1sheep,982,zh,2026-08-27T13:05:30Z
2026-08-28T01,498592,2,kunshikitty,639,de,2026-08-26T05:52:28Z
2026-08-28T01,498592,3,exsl95,405,de,2026-08-26T13:22:47Z
2026-08-28T01,1832841853,1,pixienaut,459,de,2026-08-28T00:20:24Z
2026-08-28T01,1832841853,2,dub_ok_tv,314,ru,2026-08-27T21:11:49Z
2026-08-28T01,1832841853,3,jack_fromsoft,270,de,2026-08-27T15:17:58Z
2026-08-28T01,66082,1,guit88man,1210,ru,2026-08-27T18:11:05Z
2026-08-28T01,66082,2,sharkie,392,en,2026-08-27T02:48:20Z
2026-08-28T01,66082,3,will_shand,234,en,2026-08-28T00:54:36Z
2026-08-28T01,513181,1,fobm4ster,2139,en,2026-08-27T22:30:21Z
2026-08-28T01,513181,2,chawndo,473,en,2026-08-27T21:09:59Z
2026-08-28T01,513181,3,limbosauce,290,en,2026-08-28T00:01:55Z
2026-08-28T01,499634,1,dvces,1432,en,2026-08-27T13:11:41Z
2026-08-28T01,499634,2,threadguywren,1077,en,2026-08-28T00:54:59Z
2026-08-28T01,499634,3,schoen_xyz,415,en,2026-08-27T18:50:02Z
2026-08-28T01,509511,1,shroudedgaming,2308,en,2026-08-27T18:44:59Z
2026-08-28T01,509511,2,sandyjackson,321,de,2026-08-27T20:55:33Z
2026-08-28T01,509511,3,raysfire,314,en,2026-08-28T00:48:40Z
2026-08-28T01,416015,1,h2p_gucio,1966,pl,2026-08-27T17:29:00Z
2026-08-28T01,416015,2,mistersleepycat,837,en,2026-08-27T23:09:18Z
2026-08-28T01,416015,3,ruetoo,484,en,2026-08-27T15:27:58Z
2026-08-28T01,65632,1,smoke,1321,en,2026-08-28T00:54:37Z
2026-08-28T01,65632,2,laxhawthorn007,541,en,2026-08-27T22:35:00Z
2026-08-28T01,65632,3,eiriish,312,en,2026-08-27T20:58:47Z
2026-08-28T01,339050343,1,henyathegenius,4216,en,2026-08-27T22:49:09Z
2026-08-28T01,339050343,2,daihan,114,ru,2026-08-27T19:10:37Z
2026-08-28T01,339050343,3,jayyswizzzle,42,en,2026-08-27T23:06:47Z
2026-08-28T01,417528,1,murloka,518,en,2026-08-27T21:49:28Z
2026-08-28T01,417528,2,feeckz,485,es,2026-08-27T20:50:58Z
2026-08-28T01,417528,3,africaalbion,429,pt,2026-08-27T23:21:38Z
2026-08-28T01,168648543,1,zwebackhd,874,en,2026-08-27T22:13:00Z
2026-08-28T01,168648543,2,low4n,341,fr,2026-08-27T21:23:48Z
2026-08-28T01,168648543,3,rglqq,250,en,2026-08-28T01:13:04Z
2026-08-28T01,18893,1,calebhart42,1211,en,2026-08-28T00:09:31Z
2026-08-28T01,18893,2,outerheaven,510,en,2026-08-27T23:48:22Z
2026-08-28T01,18893,3,sekine,461,en,2026-08-27T22:47:36Z
2026-08-28T01,272263131,1,alveussanctuary,964,en,2026-08-27T13:06:42Z
2026-08-28T01,272263131,2,ferretsoftware,344,en,2026-08-26T18:17:51Z
2026-08-28T01,272263131,3,marinemammalrescue,260,en,2026-08-27T23:21:49Z
2026-08-28T01,982017546,1,jupieverse,1585,en,2026-08-27T17:26:25Z
2026-08-28T01,982017546,2,bongchue,195,en,2026-08-27T18:05:41Z
2026-08-28T01,982017546,3,kerritcake,145,en,2026-08-27T22:51:00Z
2026-08-28T01,12839,1,voodoosh,2778,ru,2026-08-27T21:46:47Z
2026-08-28T01,12839,2,zherarrr,678,ru,2026-08-27T20:17:46Z
2026-08-28T01,12839,3,akastinger,332,ru,2026-08-27T17:58:07Z
2026-08-28T01,676802825,1,callmecarsonlive,318,en,2026-08-27T21:37:25Z
2026-08-28T01,676802825,2,ellyen,314,en,2026-08-27T19:12:53Z
2026-08-28T01,676802825,3,kaylieuh,172,en,2026-08-28T01:32:55Z
2026-08-28T01,509667,1,staryuuki,2131,es,2026-08-28T00:14:06Z
2026-08-28T01,509667,2,uwoslab,909,en,2026-08-27T22:20:04Z
2026-08-28T01,509667,3,beststreetfood,68,en,2026-08-26T10:04:57Z
2026-08-28T01,1910103699,1,yznsa,1877,ar,2026-08-27T23:13:51Z
2026-08-28T01,1910103699,2,uhitsreign,130,en,2026-08-28T00:07:17Z
2026-08-28T01,1910103699,3,lamp,125,en,2026-08-27T21:31:01Z
2026-08-28T01,488190,1,minthon19,749,ru,2026-08-27T23:27:09Z
2026-08-28T01,488190,2,ignition_oficial,299,pt,2026-08-27T22:06:48Z
2026-08-28T01,488190,3,apestylespoker,293,en,2026-08-27T23:08:03Z
2026-08-28T01,1494,1,dvniel_play,468,fr,2026-08-27T19:08:32Z
2026-08-28T01,1494,2,gen_x_gamer79,105,en,2026-08-28T00:05:09Z
2026-08-28T01,1494,3,deakywz,55,en,2026-08-27T22:38:38Z
2026-08-28T01,500188,1,sprooky,343,en,2026-08-28T00:05:04Z
2026-08-28T01,500188,2,khalamity,330,en,2026-08-27T22:34:10Z
2026-08-28T01,500188,3,ghouly,165,en,2026-08-27T23:29:09Z
2026-08-28T01,27546,1,rysiek,1038,pl,2026-08-27T21:40:20Z
2026-08-28T01,27546,2,german_intelligence,629,en,2026-08-27T21:07:22Z
