snapshot_hour_utc,game_id,name,is_game,rank,viewers_top100,channels_top100,share_top1,v_short,v_day,c_short,flags,score,components,steam_appid
2026-08-28T05,458353,Darkest Dungeon,True,27,10640,18,0.9801,-0.42960741342976405,,-0.3677247801253174,IGNITION:moonmoon,-0.611,channel_growth_short=-0.55;ignition=+1.00;rank_climb=-0.20;viewer_growth_short=-0.86,262060
2026-08-28T05,29595,Dota 2,True,18,16500,97,0.2798,-0.2981723115336677,,-0.020408871631207123,,-0.627,channel_growth_short=-0.03;steam_growth=+0.00;viewer_growth_short=-0.60,570
2026-08-28T05,13332,Pokémon FireRed/LeafGreen,False,48,4050,73,0.1835,-0.3096609791705561,,-0.29450803752218074,,-0.701,channel_growth_short=-0.44;rank_climb=+0.36;viewer_growth_short=-0.62,
2026-08-28T05,31339,Project Zomboid,True,56,3041,99,0.101,-0.41408726247810396,,0.0,,-0.708,channel_growth_short=+0.00;rank_climb=+0.12;steam_growth=+0.00;viewer_growth_short=-0.83,108600
2026-08-28T05,670138298,Madden NFL 27,True,57,3053,100,0.4258,-0.40797315151434427,,0.05129329438755048,,-0.859,channel_growth_short=+0.08;rank_climb=-0.12;viewer_growth_short=-0.82,3940610
2026-08-28T05,498566,Slots,False,17,17489,59,0.1449,-0.25278728544514834,,-0.3169117107667193,,-0.901,channel_growth_short=-0.48;rank_climb=+0.08;viewer_growth_short=-0.51,
2026-08-28T05,513143,Teamfight Tactics,True,16,16635,100,0.1518,-0.45253146735213445,,0.0,,-0.945,channel_growth_short=+0.00;rank_climb=-0.04;viewer_growth_short=-0.91,
2026-08-28T05,18893,Metal Gear Solid 4: Guns of the Patriots,True,70,2545,83,0.3839,-0.4283831824520011,,-0.18632957819149348,,-0.976,channel_growth_short=-0.28;rank_climb=+0.16;viewer_growth_short=-0.86,
2026-08-28T05,1119642287,Yu-Gi-Oh! Master Duel,True,37,5494,62,0.5606,-0.23249178418027752,,-0.4780358009429998,,-0.982,channel_growth_short=-0.72;rank_climb=+0.20;steam_growth=+0.00;viewer_growth_short=-0.46,1449850
2026-08-28T05,168648543,Battlefield 6,True,74,2173,100,0.2011,-0.48007697449857767,,0.0,,-1.0,channel_growth_short=+0.00;rank_climb=-0.04;steam_growth=+0.00;viewer_growth_short=-0.96,2807960
2026-08-28T05,512923,Baldur's Gate 3,True,98,1380,99,0.2196,-0.4535649029025756,,0.0,,-1.027,channel_growth_short=+0.00;rank_climb=-0.12;steam_growth=+0.00;viewer_growth_short=-0.91,1086940
